"","modszer","nyers","magyarazott","nem_magyarazott","kulonbseg"
"1","A_R2","-0.0884884963333672","0.0630238233808917","-0.15151231971406","-1.98951966012828e-13"
"2","A_R2","-0.0906455738957987","0.0660668028939462","-0.152860947583649","-0.0038514292060956"
"3","A_R1","-0.0884884963333672","-0.0884884963332873","1.19015908239817e-13","-1.98951966012828e-13"
"4","A_R1","-0.0906455738957987","-0.0860287410289331","-0.000765403660770048","-0.0038514292060956"
"5","B_R2","-0.0884884963333672","0.0170448620789347","-0.105533358412087","-2.1493917756743e-13"
"6","B_R2","-0.0906455738957987","0.0184739275806454","-0.106008281546863","-0.00311121992958086"
"7","B_R1","-0.0884884963333672","-0.0884884963332855","1.33226762955019e-13","-2.1493917756743e-13"
"8","B_R1","-0.0906455738957987","-0.0871329044149274","-0.000401449551290511","-0.00311121992958086"
"9","C_R2","-0.0884884963333672","0.0160120244878428","-0.104500520821013","-1.97175609173428e-13"
"10","C_R2","-0.0906455738957987","0.0181608049666107","-0.105280592876936","-0.00352578598547382"
"11","C_R1","-0.0884884963333672","-0.0884884963332855","1.15463194561016e-13","-1.97175609173428e-13"
"12","C_R1","-0.0906455738957987","-0.0862755412521601","-0.000844246658164849","-0.00352578598547382"
